state,value
Alabama,38687
Alaska,78957
Arizona,40919
Arkansas,36836
California,56492
Colorado,52663
Connecticut,67828
Delaware,67719
District of Columbia,177615
Florida,39806
Georgia,44855
Hawaii,52751
Idaho,36206
Illinois,55937
Indiana,45514
Iowa,51120
Kansas,48686
Kentucky,40193
Louisiana,50779
Maine,39824
Maryland,56874
Massachusetts,66685
Michigan,42322
Minnesota,54737
Mississippi,33386
Missouri,44615
Montana,41849
Nebraska,55181
Nevada,46653
New Hampshire,51126
New Jersey,58758
New Mexico,41964
New York,67560
North Carolina,45088
North Dakota,73233
Ohio,46831
Oklahoma,45431
Oregon,44752
Pennsylvania,50233
Rhode Island,48968
South Carolina,37178
South Dakota,52123
Tennessee,43979
Texas,54097
Utah,45110
Vermont,46141
Virginia,54360
Washington,58156
West Virginia,37376
Wisconsin,47963
Wyoming,66690